NFORM;nnper;nvj;IDPERV;origen;proposito;VF5;VF6;tiempoviaje;modoprincipal;etapas;VF9;INSE;INSE_RecF;EstratoGeografico;cuadras;codsegorigen;codsegproposito;wcal0
1053;3;4;10530304;15;15;19,3;20;30;15;1;3;47;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;110250;110058;361,3165711
1053;3;5;10530305;15;1;22,4;23;20;8;1;2;47;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;110058;337125;361,3165711
1054;1;1;10540101;1;6;20;20,2;20;13;1;3;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337125;337425;337,2987977
1054;1;2;10540102;6;1;21;21,3;30;0;1;3;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;10;337425;337125;337,2987977
1055;1;1;10550101;1;6;15;15,3;30;8;1;5;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337125;337443;498,0819909
1055;1;2;10550102;6;1;16;16,3;30;8;1;5;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337443;337125;498,0819909
1055;1;3;10550103;1;11;17,3;17,4;10;8;1;2;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337125;110076;498,0819909
1055;1;4;10550104;11;1;17,45;17,55;10;8;1;2;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;110076;337125;498,0819909
1055;1;5;10550105;1;14;18,15;18,3;15;8;1;3;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337125;110059;498,0819909
1055;1;6;10550106;14;1;19,3;19,45;15;8;1;3;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;110059;337125;498,0819909
1055;2;1;10550201;1;11;7,45;8;15;8;1;2;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337125;110076;498,0819909
1055;2;2;10550202;11;2;8;8,45;45;8;1;1;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;110076;118202;498,0819909
1055;2;3;10550203;2;1;18,15;19;45;8;1;1;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;118202;337125;498,0819909
1055;3;1;10550301;1;5;7,3;7,45;15;2;1;1;46;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras; ;337125;110076;498,0819909
