NFORM;C1;C2;C3;C4;C5;D1A;D1B;D1C;D1D;D1E;D1ECAN;D1F;D1FCAN;D1G;D1GCAN;D2AT;D2AP;D2BT;D2BP;D2CT;D2CP;D2DT;D2DP;D2ET;D2EP;D2FT;D2FP;D3;D4;D5;d5a;D7;D10;G2;G3A;G3B;G4A;G4B;G5A;G5B;G6A;G6B;G6C;G7A;G7N;G7B;G7O;G7C;G7P;G7D;G7Q;G7E;G7R;G7F;G7S;G7G;G7T;G7H;G7U;G7I;G7V;G7J;G7W;G7K;G7X;G7L;G7Y;G7M;G7Z;G8A_X;G8B_X;G9A_X;G9B_X;G10A_X;G10B_X;G10C_X;G11;G12A_X;G12B_X;INSE;INSE_RecF;EstratoGeografico;wcal0;codseghogar;codloc;codseg
1031;1;1;1;1;1;2;2;2;1;1;1;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;2; ;2;2;1;1;3;1;2;2; ;137; ;1;5;4;3; ;3; ;3; ;4; ;3; ;2; ;4; ;4; ;3; ;4; ;1; ;4; ;3; ;8;1;12;4;3;5;7;4;1;25;32;M-;Zona III - Cuenca Cerro Norte Bajo;199,8257884;113236;1020;113236
1032;1;1;2;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;9;1;3;1;1;2;2; ;306; ;8;2;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;12;99;12;99;1;3;5;4;1;25;23;B+;Montevideo Bajo;627,1948052;113051;1020;113051
1033;1;1;2;1;1;1;1;1;2;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;2;2; ;185; ;10;1;8;4; ;4; ;4; ;2; ;4; ;4; ;4; ;4; ;4; ;3; ;3; ;4; ;4; ;12;99;11;5;13;99; ;4;10;1;49;M+;Montevideo Medio;484,8265598;113022;1020;113022
1034;1;1;1;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;2;2; ;306; ;1;10;7;2; ;4; ;4; ;2; ;3; ;3; ;4; ;3; ;4; ;2; ;2; ;3; ;3; ;5;3;5;99;3;4;7;4;9;25;28;B+;Montevideo Bajo;390,0821925;113051;1020;113051
1035;2;2;2;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4;1;2;1;1;2;1; ;524; ;6;8;1;2; ;2; ;4; ;4; ;2; ;3; ;1; ;1; ;2; ;4; ;4; ;3; ;1; ;8;99;5;99;17;99; ;4;1;99;29;B+;Zona III - Cuenca Cerro Norte NoBajo;119,7925354;116018;1020;116018
1036;1;1;1;1;1;2;2;2;1;2; ;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;2; ;4;4;1;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;99; ;4;1;3;11;B-;Zona III - Cuenca Cerro Norte Bajo;136,8806657;116011;1020;116011
1037;1;1;2;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;4;1;2;3; ;505; ;1;2;4;4; ;4; ;3; ;4; ;4; ;3; ;4; ;3; ;4; ;4; ;4; ;4; ;4; ;12;99;12;99;5;99; ;4;1;99;32;M-;Zona II - Cuenca Noreste      NoBajo;91,42437081;111092;1020;111092
1038;1;1;1;1;1;2;2;2;1;1;3;1;1;2; ;2;1;9;9; ; ; ; ; ; ; ; ;2; ;5;5;1;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;99; ;4;1;99;15;B-;Zona III - Cuenca Cerro Norte NoBajo;92,50383022;113037;1020;113037
1039;1;1;2;1;1;1;1;1;1;1;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;2;2; ;145; ;9;10;11;4; ;4; ;2; ;2; ;2; ;3; ;4; ;3; ;3; ;4; ;4; ;4; ;2; ;1;4;1;4;99;6;99;2;3;25;56;A-;Montevideo Medio Alto;558,7278729;121016;1020;121016
1040;1;2;1;1;1;2;2;2;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;4;1;1;1;1;2;3; ;505; ;1;3;2;2; ;2; ;2; ;3; ;3; ;4; ;3; ;4; ;3; ;3; ;3; ;4; ;3; ;12;99;12;99;3;99; ;4;1;99;10;B-;Zona II - Cuenca Noreste      NoBajo;129,1773333;111092;1020;111092
