NFORM;nnper;nvj;netp;IDPERVE;BL;EB0P1;EB0P2;EB1P1;EB1P2;EB1P3;EB1P4;EB1P5;EB1P6;EB1P7;EB2P1;EB6P1;EB3P1;EB4P1;EB4P2;EB4P3;EB5BP1L;EB5BP4;EB5P5;INSE;INSE_RecF;EstratoGeografico;wcal0;codsegparadasube;codsegparadabaja
1025;3;2;1;1025030201;2; ; ; ; ; ; ; ; ; ;6;3; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
1025;4;1;1;1025040101;2; ; ; ; ; ; ; ; ; ;10;3; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
1025;4;2;1;1025040201;2; ; ; ; ; ; ; ; ; ;10;3; ; ; ; ; ; ; ;23;B+;Montevideo Bajo;587,0601537; ; 
1026;1;1;1;1026010101;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;41;M;Montevideo Medio;533,3092158; ; 
1026;1;2;1;1026010201;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;41;M;Montevideo Medio;533,3092158; ; 
1028;1;1;1;1028010101;11;0;0;2;2; ; ;1;75;0; ; ; ; ; ; ; ; ; ;43;M;Montevideo Bajo;538,1559885; ; 
1028;1;2;1;1028010201;11;0;0;2;2; ; ;2; ;0; ; ; ; ; ; ; ; ; ;43;M;Montevideo Bajo;538,1559885; ; 
1028;1;3;1;1028010301;11;0;0;5;2; ; ;2; ;1; ; ; ; ; ; ; ; ; ;43;M;Montevideo Bajo;538,1559885; ; 
1028;2;1;1;1028020101;51;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ;306;10;3;43;M;Montevideo Bajo;538,1559885;113012;113030
1028;2;1;2;1028020102;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;D2;5;5;43;M;Montevideo Bajo;538,1559885;113030;101104
1028;2;1;3;1028020103;51;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;143;5;4;43;M;Montevideo Bajo;538,1559885;101104;106204
1028;2;2;1;1028020201;51;3;0; ; ; ; ; ; ; ; ; ; ; ; ; ;124;20;3;43;M;Montevideo Bajo;538,1559885;106103;113030
