NFORM;nnper;IDPER;SEXO;EDAD;PARENTESCO;E3;E4;E4A;E5;E6;E7;E7OB;E8;E9;E10;E11;E12;E14;E15;E16;E17;E19;E20;E200B;Form_Op_Hab;codsegtrabprinc;codsegpresentrab;codsegcomenzodia;INSE;INSE_RecF;EstratoGeografico;wcal0
1515;2;151502;1;27;4;2;3; ;6;2;3; ;1; ; ;45;2; ;1; ;1;1; ; ;0;327013; ; ;48;M+;Pando;173,4557463
1515;3;151503;1;20;4;2;3; ;6;1;3; ;2;1;1; ; ; ;1; ;1;2;10; ;0; ; ; ;48;M+;Pando;173,4557463
1516;1;151601;2;34;1;2;3; ;5;2;2; ;1; ; ;50;1; ;1; ;1;2;8; ;0; ; ; ;19;B-;Pando;57,28588195
1516;2;151602;2;54;7;2;2; ;2;2;2; ;1; ; ;50;1; ;2; ;1;2;8; ;1; ; ; ;19;B-;Pando;57,28588195
1516;3;151603;2;19;9;2;3; ;6;1;2; ;2;1;1; ; ; ;3; ;1;2;10; ;0; ; ; ;19;B-;Pando;57,28588195
1516;4;151604;1;19;4;2;3; ;3;2;2; ;2;1;1; ; ; ;3; ;1;2;4; ;0; ; ; ;19;B-;Pando;57,28588195
1517;1;151701;1;66;1;2;2; ;5;1;3; ;2;1;4; ; ; ;2; ;1;2;10; ;1; ; ; ;42;M;Sauce, San Jacinto, Tala,  Santoral  y Otras;27,77048207
1517;2;151702;2;69;2;2;2; ;6;1;3; ;2;1;3; ; ; ;3; ;1;2;2; ;0; ; ; ;42;M;Sauce, San Jacinto, Tala,  Santoral  y Otras;27,77048207
1518;1;151801;1;27;1;2;3; ;3;2;3; ;1; ; ;48;2; ;1;5;1;1; ; ;0;199047; ; ;42;M;Pando;177,0019786
1518;2;151802;2;27;2;2;3; ;3;2;3; ;1; ; ;36;2; ;3;1;1;1; ; ;1;337173; ; ;42;M;Pando;177,0019786
1518;3;151803;1;76;7;2;2; ;4;2;2; ;2;1;4; ; ; ;3;1;1;2;1; ;0; ; ; ;42;M;Pando;177,0019786
1518;4;151804;2;4;3;1;1; ;4;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;42;M;Pando;177,0019786
1519;1;151901;1;50;1;2;2; ;6;1;2; ;1; ; ;60;2; ;1;3;1;1; ; ;0;337219; ; ;32;M-;Pando;161,5215472
1519;2;151902;2;49;2;2;3; ;4;1;3; ;1; ; ;40;2; ;1;3;1;1; ; ;0;337219; ; ;32;M-;Pando;161,5215472
1519;3;151903;2;27;3;2;3; ;6;1;3; ;1; ; ;50;2; ;3;2;1;1; ; ;1;123004; ; ;32;M-;Pando;161,5215472
1519;4;151904;1;18;3;1;3; ;3;2;3; ;2;1;2; ; ; ;3;1;1;2;3; ;0; ; ; ;32;M-;Pando;161,5215472
1519;5;151905;1;22;3;2;3; ;6;1;3; ;1; ; ;35;2; ;1;2;1;1; ; ;0;111129; ; ;32;M-;Pando;161,5215472
1520;1;152001;1;43;1;2;2; ;6;1;3; ;1; ; ;50;1; ;1;3;1;1; ; ;1; ; ; ;44;M+;Pando;197,6341764
1520;2;152002;2;37;2;2;3; ;6;1;3; ;1; ; ;40;2; ;1;3;1;1; ; ;0;337318; ; ;44;M+;Pando;197,6341764
1520;3;152003;1;8;3;1;2; ;3;2;3; ; ; ; ; ; ; ; ; ;1;2;3; ;0; ; ; ;44;M+;Pando;197,6341764
1520;4;152004;2;6;3;1;2; ;2;2;3; ; ; ; ; ; ; ; ; ;1;2;3; ;0; ; ; ;44;M+;Pando;197,6341764
1521;1;152101;1;35;1;2;5; ;1;2;3; ;1; ; ;30;2; ;1;2;1;1; ; ;1;105102; ; ;48;M+;Pando;164,695147
1521;2;152102;2;35;2;2;5; ;2;2;3; ;1; ; ;40;2; ;1;3;1;1; ; ;0;327006; ; ;48;M+;Pando;164,695147
1521;3;152103;2;8;3;1;2; ;2;2;3; ; ; ; ; ; ; ; ; ;1;2;3; ;0; ; ; ;48;M+;Pando;164,695147
1521;4;152104;1;6;3;1;2; ;1;2;3; ; ; ; ; ; ; ; ; ;1;2;3; ;0; ; ; ;48;M+;Pando;164,695147
1522;1;152201;1;40;1;1;2; ;5;2;3; ;1; ; ;70;1; ;1;3;1;1; ; ;1; ; ; ;52;A-;Pando;140,7616316
1522;2;152202;2;42;2;2;5; ;2;1;3; ;1; ; ;70;1; ;1;3;1;1; ; ;0; ; ; ;52;A-;Pando;140,7616316
1522;3;152203;2;16;3;1;3; ;4;2;3; ;2;1;2; ; ; ; ; ;1;1; ; ;0; ; ; ;52;A-;Pando;140,7616316
1523;1;152301;1;43;1;2;2; ;6;1;2; ;1; ; ;20;2; ;3; ;1;2;11;DIA LIBRE DEL TRABAJO;1;116213; ; ;31;M-;Pando;131,2387873
1523;2;152302;2;42;2;2;3; ;5;2;2; ;2;1;3; ; ; ;3; ;1;2;10; ;0; ; ; ;31;M-;Pando;131,2387873
1524;1;152401;1;52;1;2;4;3;2;2;2; ;1; ; ;60;2; ;3; ;1;1; ; ;0;316208; ; ;33;M-;Pando;131,2387873
1524;2;152402;2;54;2;2;3; ;4;2;2; ;1; ; ;6;2; ;3; ;1;2;10; ;1;316208; ; ;33;M-;Pando;131,2387873
1525;1;152501;2;60;1;2;2; ;3;2;2; ;2;1;4; ; ; ;3; ;1;1; ; ;1; ; ; ;28;B+;Toledo, Suarez y Otras;93,97821028
1525;2;152502;2;25;4;2;4;3;1;2;2; ;2;1;1; ; ; ;3; ;1;1; ; ;0; ; ; ;28;B+;Toledo, Suarez y Otras;93,97821028
1526;1;152601;1;63;1;2;2; ;6;1;1; ;1; ; ;20;2; ;1;5;1;2;10; ;0;111059; ; ;38;M;Pando;116,6529056
1526;2;152602;2;61;2;2;2; ;6;1;1; ;2;1;7; ; ; ;3;1;1;2;2; ;1; ; ; ;38;M;Pando;116,6529056
1526;3;152603;2;19;3;1;5; ;1;2;3; ;2;1;2; ; ; ;3;1;1;2;3; ;0; ; ; ;38;M;Pando;116,6529056
1527;1;152701;1;70;1;2;2; ;4;2;1; ;2;1;4; ; ; ;3;1;1;1; ; ;0; ; ; ;29;B+;Pando;137,6967812
1527;2;152702;2;26;4;2;3; ;3;2;3; ;2;1;3; ; ; ;1;5;1;1; ; ;1; ; ; ;29;B+;Pando;137,6967812
1527;3;152703;2;6;11;1;1; ;5;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;29;B+;Pando;137,6967812
1528;1;152801;2;31;1;2;3; ;6;1;3; ;1; ; ;48;2; ;3; ;2;1; ; ;1;107204; ;107204;39;M;Sauce, San Jacinto, Tala,  Santoral  y Otras;16,75491213
1528;2;152802;1;31;2;2;3; ;3;1;1; ;1; ; ;48;2; ;1; ;1;2;10; ;0;107104; ; ;39;M;Sauce, San Jacinto, Tala,  Santoral  y Otras;16,75491213
1529;1;152901;2;52;1;2;2; ;6;1;3; ;2;1;3; ; ; ;3; ;1;2;10; ;1; ; ; ;51;A-;Sauce, San Jacinto, Tala,  Santoral  y Otras;83,66140433
1529;2;152902;2;31;2;2;6; ;2;2;3; ;1; ; ;35;2; ;1; ;1;2;10; ;0;110113; ; ;51;A-;Sauce, San Jacinto, Tala,  Santoral  y Otras;83,66140433
1530;1;153001;2;51;1;2;5; ;3;1;3; ;1; ; ;40;2; ;3;3;1;1; ; ;1;306124; ; ;50;M+;Sauce, San Jacinto, Tala,  Santoral  y Otras;89,50540063
1530;2;153002;1;51;2;2;4;2;2;2;3; ;1; ; ;72;2; ;1;3;1;1; ; ;0;115104; ; ;50;M+;Sauce, San Jacinto, Tala,  Santoral  y Otras;89,50540063
1530;3;153003;1;22;3;2;3; ;6;1;3; ;1; ; ;40;2; ;3;1;1;1; ; ;0;306002; ; ;50;M+;Sauce, San Jacinto, Tala,  Santoral  y Otras;89,50540063
1532;1;153201;1;30;1;2;4;2;2;2;2; ;2;2; ;48;2; ;3;3;1;2;10; ;1;306003; ; ;25;B+;Sauce, San Jacinto, Tala,  Santoral  y Otras;18,78131296
1532;2;153202;2;39;2;2;2; ;5;1;2; ;2;2; ;48;2; ;3;1;1;2;2; ;0;306002; ; ;25;B+;Sauce, San Jacinto, Tala,  Santoral  y Otras;18,78131296
1532;3;153203;2;9;3;1;2; ;3;2;2; ; ; ; ; ; ; ; ; ;1;2;2; ;0; ; ; ;25;B+;Sauce, San Jacinto, Tala,  Santoral  y Otras;18,78131296
1533;1;153301;1;24;1;2;3; ;6;1;3; ;1; ; ;44;2; ;3;1;1;2;10; ;1;316122; ; ;31;M-;Pando;151,2579304
1533;2;153302;2;24;2;2;3; ;4;2;3; ;2;1;3; ; ; ;3;1;1;2;5; ;0; ; ; ;31;M-;Pando;151,2579304
1533;3;153303;2;0;3;3; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;31;M-;Pando;151,2579304
1534;1;153401;2;54;1;2;2; ;5;2;2; ;1; ; ;50;2; ;3; ;1;1; ; ;1;306010; ; ;24;B+;Toledo, Suarez y Otras;68,82247342
1534;2;153402;2;19;4;2;2; ;6;1;2; ;1; ; ;8;1; ;3; ;1;2;10; ;0; ; ; ;24;B+;Toledo, Suarez y Otras;68,82247342
1535;1;153501;1;50;1;2;3; ;3;2;3; ;1; ; ;48;2; ;2; ;1;1; ; ;1;117109; ; ;47;M+;Toledo, Suarez y Otras;64,08541437
1536;1;153601;2;60;1;2;3; ;2;2;1; ;2;1;4; ; ; ;3;1;1;2;10; ;1; ; ; ;38;M;Pando;122,8400524
1536;2;153602;1;27;4;2;3; ;2;2;2; ;1; ; ;40;2; ;1;2;1;1; ; ;0;327013; ; ;38;M;Pando;122,8400524
1537;1;153701;1;57;1;2;5; ;6;1;1; ;1; ; ;40;2; ;1;5;1;1; ; ;1;337126; ; ;58;A-;Pando;134,7675591
1537;2;153702;1;31;4;2;6; ;3;2;1; ;1; ; ;40;2; ;1;2;1;1; ; ;0;101204; ; ;58;A-;Pando;134,7675591
1538;1;153801;1;75;1;2;2; ;3;2;1; ;2;1;4; ; ; ;3;1;1;2;2; ;0; ; ; ;45;M+;Pando;134,277272
1538;2;153802;1;70;2;2;2; ;6;1;1; ;2;1;4; ; ; ;3;1;1;2;5; ;0; ; ; ;45;M+;Pando;134,277272
1538;3;153803;2;44;3;2;5; ;6;1;3; ;1; ; ;53;5;2;1;5;1;1; ; ;1; ; ; ;45;M+;Pando;134,277272
1538;4;153804;2;13;11;1;3; ;1;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;45;M+;Pando;134,277272
1539;1;153901;2;67;1;2;3; ;6;1;3; ;1; ; ;5;5;2;3; ;1;1; ; ;1; ; ; ;40;M;Pando;122,8400524
1539;2;153902;1;28;4;2;3; ;6;1;3; ;1; ; ;44;2; ;3; ;1;1; ; ;0;110047; ; ;40;M;Pando;122,8400524
1540;1;154001;1;45;1;2;4;2;2;2;3; ;1; ; ;44;2; ;1;5;1;1; ; ;1;110149; ; ;43;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;456,7496698
1540;2;154002;2;39;2;2;6; ;3;2;3; ;1; ; ;34;2; ;3;1;1;1; ; ;0;337126; ; ;43;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;456,7496698
1540;3;154003;1;10;3;1;2; ;4;2;3; ; ; ; ; ; ; ; ; ;1;1; ; ;0; ; ; ;43;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;456,7496698
1540;4;154004;1;9;3;1;2; ;2;2;3; ; ; ; ; ; ; ; ; ;1;2;2; ;0; ; ; ;43;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;456,7496698
1540;5;154005;1;4;3;1;1; ;9;2;3; ; ; ; ; ; ; ; ; ;1;2;2; ;0; ; ; ;43;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;456,7496698
1541;1;154101;1;60;1;2;2; ;4;2;3; ;1; ; ;40;2; ;3; ;1;1; ; ;1;337186; ; ;42;M;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;276,2850575
1548;1;154801;1;32;1;1;4;2;2;2;3; ;1; ; ;44;2; ;3; ;1;1; ; ;0;337425; ; ;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;325,517129
1548;2;154802;2;30;2;2;3; ;3;1;3; ;1; ; ;40;2; ;3; ;1;1; ; ;1;337125; ; ;49;M+;Ciudad de la Costa, Paso Carrasco, Salinas Grandes y Otras;325,517129
1550;1;155001;1;62;1;2;6; ;1;2;3; ;2;1;4; ; ; ;1;3;1;1; ; ;0; ; ; ;56;A-;Pando;118,6484416
1550;2;155002;2;65;2;2;2; ;6;1;3; ;2;1;4; ; ; ;3;1;1;1; ; ;1; ; ; ;56;A-;Pando;118,6484416
1551;1;155101;1;32;1;2;2; ;6;1;3; ;1; ; ;44;2; ;1; ;1;1; ; ;1;115214; ; ;44;M+;Zona I - Casavalle            NoBajo;86,62543714
1552;1;155201;2;72;1;2;3; ;6;1;2; ;2;1;4; ; ; ;3; ;1;1; ; ;1; ; ; ;27;B+;Zona I - Casavalle            Bajo;204,7645608
1553;1;155301;1;55;1;2;6; ;4;1;2; ;2;2; ;1;6;2;3; ;1;1; ; ;1; ; ; ;40;M;Montevideo Medio;671,4720428
